Date,Week,Marketing Channel,Campaign Name,Landing Page Views,Unique Visitors,CTA Clicks,Prototype Starts,Successful Logins,Attendance Submissions,Feedback Responses,Conversion Rate (%),Feedback Rate (%),Average Time on Page (min),Notes
2026-07-27,Week 1,Class Group Chat,Class Promotion,18,15,8,6,5,5,3,44.44,50.00,2.8,Initial promotion to classmates
2026-07-28,Week 1,University Email,Lecturer Invitation,12,10,5,4,4,4,2,41.67,50.00,3.5,Email sent to lecturers
2026-07-29,Week 1,Social Media,Student Club Post,20,18,9,7,6,6,4,45.00,57.14,2.4,Facebook and Instagram post
2026-08-03,Week 2,Class Group Chat,Reminder Message,25,22,12,10,9,9,5,48.00,50.00,3.1,Reminder shared before class
2026-08-04,Week 2,Classroom Presentation,Prototype Demo,30,28,18,15,14,14,8,60.00,53.33,5.2,Live classroom demonstration
2026-08-05,Week 2,Department Website,Project Showcase,15,14,6,5,5,5,3,40.00,60.00,2.9,Department website link
2026-08-10,Week 3,Social Media,Second Promotion,35,30,17,14,13,13,9,48.57,64.29,3.8,Second social media campaign
2026-08-11,Week 3,University Email,Follow-up Email,18,16,8,7,7,7,5,44.44,71.43,3.3,Follow-up invitation
2026-08-12,Week 3,Class Group Chat,Final Reminder,22,20,11,9,9,9,6,50.00,66.67,2.7,Final reminder before submission
2026-08-13,Week 3,Department Website,Project Update,19,17,9,8,8,8,5,47.37,62.50,3.0,Updated project information
